key,text
"dlc_010_020_1",""
"dlc_010_030_1",""
"dlc_010_040_10","Much like a beast that secretly spreads its nest underground,
Parallelmon expands their territory while hiding in pockets of
space-time."
"dlc_010_040_20","One might say that this vast corridor is a literal pathway
through space-time itself. It seems to have grown twisted,
as if weaving through the very gaps in time and space."
"dlc_010_050_10","Expanding indefinitely, connecting to endless dimensions...
Think of it like a terminal train station, with countless rail
lines all converging at a single point."
"dlc_010_050_20","The station in Shinjuku often feels like a maze to those who
visit it for the first time, yes? It is much like that. I suppose
the difference is..."
"dlc_010_050_30","...if you were to ever get lost, the world would simply meet its
end..."
"dlc_010_060_10","The commonality between all of the Akashic debris we've seen
so far is that they all relate to the fathers of these two girls."
"dlc_010_060_20","If similar memories continue to arise in the future, it may be
because there is something causing them to do so."
"dlc_010_070_10","For example, the sentiments these girls have toward their
fathers—perhaps these memories are being drawn by these
feelings of ""bond"" and ""love""?"
"dlc_010_070_20","I don't think that's the case with the girl known as Kyoko
Kuremi, though... In fact, I would say it's quite the opposite."
"dlc_010_080_10","Kyoko Kuremi grew darker when she talked about her father.
The moment the bond between two people turns sour, it
becomes a connection that is difficult to break."
"dlc_010_080_20","The ties that bind people are not always pleasant. When love
is no longer present, it gives way to the swirling vortex people
refer to as hatred."
"dlc_010_090_10","Keep looking for Parallelmon. If things continue like this, we'll
be on a path to chaos."
